"","income","education"
"gov.administrators",14163,13.83
"general.managers",11377,12.77
"accountants",7716,14.5
"purchasing.officers",8049,12.79
"chemists",19263,14.62
"physicists",9271,12.46
"biologists",8895,15.44
"architects",25879,15.09
"civil.engineers",14032,15.77
"mining.engineers",8880,14.64
"surveyors",17498,15.22
"draughtsmen",7869,13.11
"computer.programers",5959,12.27
"economists",5902,15.21
"psychologists",14558,15.94
"social.workers",5511,14.44
"lawyers",11030,14.71
"librarians",5180,12.09
"vocational.counsellors",6573,13.62
"ministers",8206,12.39
"university.teachers",8403,15.96
"primary.school.teachers",4330,11.13
"secondary.school.teachers",4443,14.52
"physicians",25308,15.64
"veterinarians",8043,12.3
"osteopaths.chiropractors",12480,15.97
"nurses",4686,11.03
"nursing.aides",1890,8.1
"physio.therapsts",4761,10.05
"pharmacists",8258,12.71
"medical.technicians",6112,11.43
"commercial.artists",6259,11.09
"radio.tv.announcers",7956,11.04
"athletes",6928,11.09
"secretaries",3582,11.42
"typists",3161,10
"bookkeepers",5449,10.1
"tellers.cashiers",4696,14.36
"computer.operators",6477,11.2
"shipping.clerks",3016,10.64
"file.clerks",3485,9.93
"receptionsts",3942,11.6
"mail.carriers",4614,10.93
"postal.clerks",4036,11.36
"telephone.operators",3910,14.15
"collectors",3116,9.93
"claim.adjustors",5562,13.62
"travel.clerks",5134,11
"office.clerks",4549,11.44
"sales.supervisors",4348,10.09
"commercial.travellers",6992,14.21
"sales.clerks",1656,9.17
"newsboys",2901,8.88
"service.station.attendant",4075,7.58
"insurance.agents",6197,11.32
"real.estate.salesmen",5811,11.59
"buyers",4199,10.07
"firefighters",8131,9.22
"policemen",8865,11.13
"cooks",2594,6.92
"bartenders",3485,6.84
"funeral.directors",5299,9.47
"babysitters",2370,9.46
"launderers",918,6.6
"janitors",3148,6.67
"elevator.operators",611,6.38
"farmers",6686,12.26
"farm.workers",2448,6.74
"rotary.well.drillers",6462,7.64
"bakers",4741,8.5
"slaughterers.1",3739,7.64
"slaughterers.2",4753,8.4
"canners",3000,6.69
"textile.weavers",3617,7.11
"textile.labourers",3472,8.78
"tool.die.makers",8845,8.81
"machinists",7405,10.51
"sheet.metal.workers",5092,7.74
"welders",8034,7.54
"auto.workers",3643,8.24
"aircraft.workers",6336,10.29
"electronic.workers",4224,9.84
"radio.tv.repairmen",7482,9.62
"sewing.mach.operators",2847,8.49
"auto.repairmen",7059,7.33
"aircraft.repairmen",8780,9.05
"railway.sectionmen",5648,7.42
"electrical.linemen",7562,8.55
"electricians",8316,8.76
"construction.foremen",11023,7.52
"carpenters",8425,8.6
"masons",10432,8.43
"house.painters",7147,8.33
"plumbers",8891,7.93
"construction.labourers",5795,8.37
"pilots",12351,15.08
"train.engineers",9593,11.49
"bus.drivers",5052,7.81
"taxi.drivers",3930,7.92
"longshoremen",6565,7.58
"typesetters",6860,9.45
"bookbinders",5134,10.57
