,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,Attrition_Flag
0,43,1,3.7172734337092033,High School,Married,$60K - $80K,Blue,39,5.185572305599035,2.0,3.0,94.38828620290371,47.54041206573038,12931.740187055517,0.9903404612999636,4811.689287102079,42,1.8491325803291057,0.061,1
1,47,0,4.030895231584477,Graduate,Single,Less than $40K,Blue,44,5.12598324022434,1.0,2.0,-311.7815537753481,100.75240505377178,5917.586477728484,1.8874298881900389,5084.842698849558,40,1.9166578998540773,0.105,1
2,50,1,3.2659593996547747,Graduate,Married,$80K - $120K,Blue,36,3.0303212137629094,1.0,2.0,-655.7758896328457,212.2664118832655,13539.609696396257,1.845024920219774,1408.0166042870496,40,1.8428429091957175,0.0,1
3,41,0,4.030895231584477,High School,Unknown,Less than $40K,Blue,34,5.12598324022434,3.0,2.0,-754.1540774280884,114.92046042598349,-18407.12994831406,1.7864672054744353,11998.164270084864,40,1.8467026470412988,0.76,1
4,40,1,2.483084060760578,Uneducated,Married,$60K - $80K,Blue,21,5.771488464737798,1.0,2.0,-528.765852191767,-65.37862736583247,17006.096179267923,1.8187370020230798,1348.4927321419304,40,1.9022309572542517,0.0,1
5,45,1,1.8945357394578526,Graduate,Married,$40K - $60K,Blue,36,1.992191834909533,1.0,2.0,-653.590122199812,53.71040793442762,2035.8412207806136,1.3694637187016627,6721.932331178035,40,0.8570505046329514,0.311,1
6,48,1,4.030895231584477,Unknown,Married,$120K +,Gold,46,5.12598324022434,1.5,3.0,1828.2796984683005,158.69498386213354,14922.855239096334,1.6197347196176441,10912.938893516046,40,0.7145639302089085,0.066,1
7,31,1,0.7042308804156465,High School,Unknown,$60K - $80K,Silver,27,3.0607740792337284,2.0,2.0,1403.1277727397471,146.63626887413477,22724.61082399529,1.7192489227203354,7313.905829570875,40,0.7181563691175263,0.048,1
8,37,1,2.050647206001269,Uneducated,Single,$60K - $80K,Blue,36,3.98741269275556,3.0,1.0,827.1387989752611,161.534126743898,-3035.0168454551977,1.787582535014966,12005.606686760695,40,1.8461567843434996,0.113,1
9,48,1,2.483084060760578,Graduate,Single,$80K - $120K,Blue,36,5.771488464737798,3.0,3.0,-28.246304999642916,143.36158752676226,1682.6958652090807,1.4939789932962364,8427.028413850756,40,0.9879531255862074,0.14400000000000002,1
10,40,1,4.030895231584477,Uneducated,Unknown,$120K +,Blue,31,5.12598324022434,3.0,2.0,-426.2839290704837,74.04888534463089,1580.1926205736654,0.8375727183972819,7608.617100893718,42,0.6953744426412164,0.217,1
11,58,1,0.7997230626371312,Unknown,Married,$40K - $60K,Blue,54,5.402674680266028,2.0,2.0,-266.4181105201448,120.72671506674124,-239.88333666403832,1.5878925265516026,8079.79992061281,40,1.1059172933775074,0.174,1
12,53,1,0.5627840378151814,College,Single,$80K - $120K,Blue,36,3.004629560579102,2.0,3.0,29.825685889564625,126.37928292859579,23460.341033806522,1.7380055144219737,1291.7656475524254,40,1.8879015805833292,0.0,1
13,35,1,2.483084060760578,Graduate,Unknown,$60K - $80K,Blue,30,5.771488464737798,1.5,3.0,-289.171896393209,102.29393935457892,-2240.7885625920444,0.9546654957703994,8391.946993873044,40,1.8492292073222225,0.195,1
